trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
314,False,"{'a': 0.35, 'e': 0.20908801317328293}",30,10,22.09126051080264,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
315,False,"{'a': 0.35, 'e': 0.20804518235702046}",20,7,-0.5089827921049195,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
316,False,"{'a': 0.35, 'e': 0.20700755268115265}",25,15,17.38581775712283,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
317,False,"{'a': 0.35, 'e': 0.20597509820488344}",25,15,-77.27257736673447,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 2}",1
318,False,"{'a': 0.35, 'e': 0.2049477931167973}",35,23,19.90427876604496,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
319,False,"{'a': 0.35, 'e': 0.20392561173421342}",20,11,16.211317061718997,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
320,False,"{'a': 0.35, 'e': 0.20290852850254407}",25,12,6.043721270405623,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
321,False,"{'a': 0.35, 'e': 0.20189651799465538}",25,6,16.359939423290733,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
322,False,"{'a': 0.35, 'e': 0.20088955491023208}",20,15,10.49104612441539,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
323,False,"{'a': 0.35, 'e': 0.1998876140751445}",20,14,10.34138115017804,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
324,False,"{'a': 0.35, 'e': 0.19889067044081962}",25,3,33.56336057085931,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
325,False,"{'a': 0.35, 'e': 0.19789869908361465}",25,19,13.3984463403089,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
326,False,"{'a': 0.35, 'e': 0.19691167520419406}",20,11,-9.008160069370296,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 0}",1
327,False,"{'a': 0.35, 'e': 0.19592957412690934}",20,12,12.552857281127324,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
328,False,"{'a': 0.35, 'e': 0.1949523712991825}",20,0,-22.379190568295257,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
329,False,"{'a': 0.35, 'e': 0.19398004229089189}",25,12,19.728206143760204,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
330,False,"{'a': 0.35, 'e': 0.19301256279376172}",20,3,-7.725250589253023,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
331,False,"{'a': 0.35, 'e': 0.19204990862075408}",35,18,16.259962357928096,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
332,False,"{'a': 0.35, 'e': 0.19109205570546464}",30,20,-47.657377180598765,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
333,False,"{'a': 0.35, 'e': 0.1901389801015205}",30,14,-34.41149146363316,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 1}",1
334,False,"{'a': 0.35, 'e': 0.18919065798198204}",20,12,13.754649467859878,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
335,False,"{'a': 0.35, 'e': 0.1882470656387468}",25,0,-18.017228523913897,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
336,False,"{'a': 0.35, 'e': 0.18730817948195702}",20,14,5.514851111826141,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
337,False,"{'a': 0.35, 'e': 0.18637397603940997}",25,0,-16.76027751326201,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
338,False,"{'a': 0.35, 'e': 0.18544443195597088}",20,4,-57.82340465881981,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 2}",1
339,False,"{'a': 0.35, 'e': 0.18451952399298926}",20,10,17.437517387356596,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
